setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,variant,sexe,grup_edat,index_socioeconomic,recompte
20,2023,15/05/2023,21/05/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (XBB.1),Dona,80 o més,3,5
18,2022,02/05/2022,08/05/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BA.2),Dona,70 a 74,3,2
31,2023,31/07/2023,06/08/2023,64,Girona,64,Girona,Omicron (XBB.1),Dona,55 a 59,4,1
47,2021,22/11/2021,28/11/2021,67,Catalunya Central,67,Catalunya Central,Delta (B.1.617.2),Dona,45 a 49,3,1
32,2023,07/08/2023,13/08/2023,61,Lleida,61,Lleida,Omicron (XBB.1),Dona,80 o més,4,1
8,2022,21/02/2022,27/02/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BA.1),Home,75 a 79,3,2
5,2022,31/01/2022,06/02/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BA.1),Home,50 a 54,3,1
13,2022,28/03/2022,03/04/2022,64,Girona,64,Girona,Omicron (BA.2),Home,50 a 54,4,1
10,2022,07/03/2022,13/03/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.2),Home,20 a 24,3,1
31,2023,31/07/2023,06/08/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (XBB.1),Dona,75 a 79,2,1
33,2021,16/08/2021,22/08/2021,62,Camp de Tarragona,62,Camp de Tarragona,Delta (B.1.617.2),Home,75 a 79,3,1
2,2022,10/01/2022,16/01/2022,70,Penedès,70,Penedès,Omicron (BA.1),Home,45 a 49,3,2
20,2021,17/05/2021,23/05/2021,67,Catalunya Central,67,Catalunya Central,Alpha (B.1.1.7),Home,75 a 79,3,2
37,2022,12/09/2022,18/09/2022,70,Penedès,70,Penedès,Omicron (BA.4),Dona,50 a 54,3,1
3,2022,17/01/2022,23/01/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.1),Home,25 a 29,2,3
47,2022,21/11/2022,27/11/2022,61,Lleida,61,Lleida,Omicron (BQ.1),Dona,60 a 64,3,1
28,2021,12/07/2021,18/07/2021,67,Catalunya Central,67,Catalunya Central,Alpha (B.1.1.7),Home,75 a 79,3,1
24,2022,13/06/2022,19/06/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.5),Dona,50 a 54,3,1
22,2021,31/05/2021,06/06/2021,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Alpha (B.1.1.7),Dona,5 a 9,4,1
4,2022,24/01/2022,30/01/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BA.1),Home,75 a 79,4,1
27,2021,05/07/2021,11/07/2021,00,No disponible,00,No disponible,Gamma (P.1),No disponible,No disponible,-1,4
45,2022,07/11/2022,13/11/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BQ.1),Dona,75 a 79,3,1
14,2023,03/04/2023,09/04/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (XBB.1),Home,75 a 79,2,1
33,2021,16/08/2021,22/08/2021,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Delta (B.1.617.2),Dona,65 a 69,4,1
46,2022,14/11/2022,20/11/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Dona,35 a 39,3,1
26,2023,26/06/2023,02/07/2023,67,Catalunya Central,67,Catalunya Central,Omicron (XBB.1),Dona,35 a 39,3,1
40,2021,04/10/2021,10/10/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Home,3 i 4,4,1
35,2021,30/08/2021,05/09/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Home,1 i 2,4,1
11,2022,14/03/2022,20/03/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BA.2),Dona,55 a 59,2,1
20,2022,16/05/2022,22/05/2022,00,No disponible,00,No disponible,Omicron (BA.2),No disponible,No disponible,-1,3
9,2022,28/02/2022,06/03/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BA.1),Home,15 a 19,4,1
22,2023,29/05/2023,04/06/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (XBB.1),Home,55 a 59,4,1
39,2021,27/09/2021,03/10/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Home,40 a 44,3,1
9,2022,28/02/2022,06/03/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.1),Dona,35 a 39,3,1
42,2021,18/10/2021,24/10/2021,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Delta (B.1.617.2),Home,75 a 79,3,1
38,2023,18/09/2023,24/09/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (XBB.1),Dona,65 a 69,3,1
51,2021,20/12/2021,26/12/2021,70,Penedès,70,Penedès,Omicron (Genèric),Dona,10 a 14,3,1
